GeoID,Country,Region,Lon,Lat,LoggerType,Year,Track
9SK,DE,Rostock,11°54'30''E,54°09'20''N,SOI GDL2,2013,1
9SG,DE,Rostock,11°54'30''E,54°09'20''N,SOI GDL2,2013,1
9NV,DE,Rostock,12°15'15''E,54°15'45''N,SOI GDL2,2013,1
9NT,DE,Rostock,12°15'50''E,54°16'00''N,SOI GDL2,2013,1
9NZ,DE,Rostock,12°15'15''E,54°15'45''N,SOI GDL2,2013,0
9SM,CZE,Želnava ,13°57'17''E,48°48'15''N,SOI GDL2,2013,0
B741,CZE,Milovy ,16°05'42''E,49°40'17''N,MT Intigeo P55,2012,0.8
B746,CZE,Želnava ,16°05'42''E,49°40'17''N,MT Intigeo P55,2012,0.8
B761,BUL,Razlog-Bansko,23°23'46''E,41°50'41''N,MT Intigeo P55,2012,0.9
B767,BUL,Razlog-Bansko,23°23'46''E,41°50'41''N,MT Intigeo P55,2012,1
B769,BUL,Razlog-Bansko,23°23'46''E,41°50'41''N,MT Intigeo P55,2012,0.9
F301,SWE,Gotland,18°10’50’’E,56°55’06’’N,MT Intigeo-P65,2013,1
315,SWE,Halland,12°41’30’’E,56°41’00’’N,BAS Mk12S,2011,1
F309,SWE,Gotland,18°10’50’’E,56°55’06’’N,MT Intigeo-P65,2013,1
19UZ,FIN,Oulu,25°28’00’’E,64°58’37’’N,SOI GDL2,2016,0.8
19RO,FIN,Kusa,"23°47'24""E","60°08'60""N",SOI GDL2,2016,0.5
19PI,FIN,Turku,"22°17'24""E","60°24'36""N",SOI GDL2,2016,0.5
19NU,FIN,Oulu,25°28’00’’E,64°58’37’’N,SOI GDL2,2016,0.4
BA774,FIN,Oulu,25°28’00’’E,64°58’37’’N,MT Intigeo P55,2016,0.8
T986,FIN,Lahti,"25°46'48""E","60°57'00""N",MT Intigeo P55,2015,0.8
17QH,FIN,Oulu,25°28’00’’E,64°58’37’’N,SOI GDL2,2015,0.5
17RD,FIN,Turku,"22°17'24""E","60°24'36""N",SOI GDL2,2015,0.5
17RH,FIN,Turku,"22°17'24""E","60°24'36""N",SOI GDL2,2015,0.5
